pick_no,pick,round,draft_slot,roster_id,team,manager,player,position,nfl_team,market_rookie_rank,expert_consensus_rank,expert_rank_low,expert_rank_high,expert_sources_count,fantasypros_ecr_rank,rotoballer_rank,boone_1qb_rank,draftsharks_rank,market_value,expected_slot_value,value_ratio,rank_surplus,pick_label,expert_implied_value,expert_value_ratio,expert_rank_surplus,expert_pick_label,pre_draft_position_room_rank
25,3.01,3,1,4,Bub’s Club,bubberdubber,Antonio Williams,WR,WAS,18,14.0,11,20,4,14,11,14,20,1449,1144,1.267,7,steal,1740,1.521,11.0,steal,10
26,3.02,3,2,5,My Nabers Tetties,DRockefeller,Eli Stowers,TE,PHI,14,13.0,11,15,4,11,13,13,15,1740,1040,1.673,12,steal,1775,1.707,13.0,steal,8
27,3.03,3,3,3,The Ape,sduda351,Eli Raridon,TE,NE,32,32.0,29,34,3,29,34,32,,823,1018,0.808,-5,major reach,823,0.808,-5.0,major reach,1
28,3.04,3,4,1,Ertz & Krafts 🏆,jccbraves99,Demond Claiborne,RB,MIN,26,24.0,22,30,3,30,24,22,,1040,1014,1.026,2,value,1204,1.187,4.0,value,5
29,3.05,3,5,6,Final Boss,OldManBacala,Kaytron Allen,RB,WAS,30,28.0,24,28,3,24,28,28,,952,961,0.991,-1,market,1014,1.055,1.0,market,11
30,3.06,3,6,11,Terry Tate’s Pain Train,mannyrsox24,Ted Hurst,WR,TB,28,19.0,18,25,4,19,18,19,25,1014,952,1.065,2,value,1410,1.481,11.0,steal,8
31,3.07,3,7,5,My Nabers Tetties,DRockefeller,Kaelon Black,RB,SF,27,25.0,25,27,3,27,25,25,,1018,856,1.189,4,value,1144,1.336,6.0,steal,12
32,3.08,3,8,2,2 Dagos and A Dream ,TGamby,Ty Simpson,QB,LAR,24,20.0,20,43,3,20,20,43,,1204,823,1.463,8,steal,1395,1.695,12.0,steal,11
33,3.09,3,9,9,Max’s Shadynasty,maxjabb,Skyler Bell,WR,BUF,35,27.0,23,32,3,32,27,23,,646,765,0.844,-2,reach,1018,1.331,6.0,steal,2
34,3.10,3,10,9,Max’s Shadynasty,maxjabb,Drew Allar,QB,PIT,31,42.0,42,54,3,42,42,54,,856,710,1.206,3,value,425,0.599,-8.0,major reach,3
35,3.11,3,11,4,Bub’s Club,bubberdubber,Malik Benson,WR,LV,39,58.0,42,62,3,62,58,42,,449,646,0.695,-4,major reach,128,0.198,-23.0,major reach,10
36,3.12,3,12,1,Ertz & Krafts 🏆,jccbraves99,Max Klare,TE,LAR,44,31.0,29,36,3,31,36,29,,420,645,0.651,-8,major reach,856,1.327,5.0,steal,2
37,4.01,4,1,4,Bub’s Club,bubberdubber,Bryce Lance,WR,NO,42,34.0,31,46,3,34,31,46,,425,554,0.767,-5,major reach,710,1.282,3.0,steal,10
38,4.02,4,2,10,Bijan And The Maye-ssiah,jcflash59,Eli Heidenreich,RB,PIT,48,39.0,35,64,3,39,35,64,,263,453,0.581,-10,major reach,449,0.991,-1.0,market,2
39,4.03,4,3,6,Final Boss,OldManBacala,Seth McGowan,RB,IND,43,41.0,40,46,3,41,46,40,,422,449,0.94,-4,reach,436,0.971,-2.0,reach,11
40,4.04,4,4,8,arkinsjt,arkinsjt,Matt Hibner,TE,BAL,45,55.5,45,66,2,66,,45,,357,443,0.806,-5,major reach,154,0.348,-15.5,major reach,12
41,4.05,4,5,3,The Ape,sduda351,Colbie Young,WR,CIN,53,47.0,47,74,3,74,47,47,,193,436,0.443,-12,major reach,282,0.647,-6.0,major reach,3
42,4.06,4,6,11,Terry Tate’s Pain Train,mannyrsox24,Oscar Delp,TE,NO,36,30.0,28,32,3,28,32,30,,645,425,1.518,6,steal,952,2.24,12.0,steal,4
43,4.07,4,7,10,Bijan And The Maye-ssiah,jcflash59,Justin Joly,TE,DEN,38,35.0,31,50,3,35,50,31,,453,422,1.073,5,steal,646,1.531,8.0,steal,3
44,4.08,4,8,2,2 Dagos and A Dream ,TGamby,Brenen Thompson,WR,LAC,50,37.0,37,44,3,44,37,37,,219,420,0.521,-6,major reach,554,1.319,7.0,steal,11
45,4.09,4,9,4,Bub’s Club,bubberdubber,Cade Klubnik,QB,NYJ,46,54.0,46,55,3,46,54,55,,328,357,0.919,-1,market,181,0.507,-9.0,major reach,12
