pick_no,pick,round,draft_slot,roster_id,team,manager,player,position,nfl_team,market_rookie_rank,expert_consensus_rank,expert_rank_low,expert_rank_high,expert_sources_count,fantasypros_ecr_rank,rotoballer_rank,boone_1qb_rank,draftsharks_rank,market_value,expected_slot_value,value_ratio,rank_surplus,pick_label,expert_implied_value,expert_value_ratio,expert_rank_surplus,expert_pick_label,pre_draft_position_room_rank
17,2.05,2,5,5,My Nabers Tetties,DRockefeller,Emmett Johnson,RB,KC,23,18.0,17,27,3,18,17,27,,1250,1482,0.843,-6,major reach,1460,0.985,-1.0,market,12
18,2.06,2,6,1,Ertz & Krafts 🏆,jccbraves99,Chris Bell,WR,MIA,25,16.0,15,17,3,17,16,15,,1159,1460,0.794,-7,major reach,1626,1.114,2.0,value,5
19,2.07,2,7,10,Bijan And The Maye-ssiah,jcflash59,Malachi Fields,WR,NYG,20,22.0,18,26,3,22,26,18,,1392,1409,0.988,-1,market,1298,0.921,-3.0,reach,7
20,2.08,2,8,10,Bijan And The Maye-ssiah,jcflash59,Elijah Sarratt,WR,BAL,33,22.5,21,38,4,21,22,38,23,782,1392,0.562,-13,major reach,1298,0.932,-2.5,reach,7
21,2.09,2,9,3,The Ape,sduda351,Adam Randall,RB,BAL,34,35.0,33,37,3,37,33,35,,734,1322,0.555,-13,major reach,667,0.505,-14.0,major reach,4
22,2.10,2,10,4,Bub’s Club,bubberdubber,Caleb Douglas,WR,MIA,21,35.5,18,41,4,38,41,33,18,1322,1298,1.018,1,market,634,0.488,-13.5,major reach,10
23,2.11,2,11,7,Gridiron geezers,kong58,Zachariah Branch,WR,ATL,19,21.0,16,25,3,25,21,16,,1409,1250,1.127,4,value,1322,1.058,2.0,value,12
24,2.12,2,12,11,Terry Tate’s Pain Train,mannyrsox24,Mike Washington,RB,LV,15,26.0,23,26,3,26,23,26,,1649,1177,1.401,9,steal,1046,0.889,-2.0,reach,10
25,3.01,3,1,4,Bub’s Club,bubberdubber,Antonio Williams,WR,WAS,18,14.0,11,20,4,14,11,14,20,1460,1159,1.26,7,steal,1740,1.501,11.0,steal,10
26,3.02,3,2,5,My Nabers Tetties,DRockefeller,Eli Stowers,TE,PHI,14,13.0,11,15,4,11,13,13,15,1740,1046,1.663,12,steal,1776,1.698,13.0,steal,8
27,3.03,3,3,3,The Ape,sduda351,Eli Raridon,TE,NE,32,32.0,29,34,3,29,34,32,,831,1036,0.802,-5,major reach,831,0.802,-5.0,major reach,1
28,3.04,3,4,1,Ertz & Krafts 🏆,jccbraves99,Demond Claiborne,RB,MIN,27,24.0,22,30,3,30,24,22,,1036,1033,1.003,1,market,1177,1.139,4.0,value,5
29,3.05,3,5,6,Final Boss,OldManBacala,Kaytron Allen,RB,WAS,29,28.0,24,28,3,24,28,28,,984,984,1.0,0,market,1033,1.05,1.0,market,11
30,3.06,3,6,11,Terry Tate’s Pain Train,mannyrsox24,Ted Hurst,WR,TB,26,19.0,18,25,4,19,18,19,25,1046,932,1.122,4,value,1409,1.512,11.0,steal,8
31,3.07,3,7,5,My Nabers Tetties,DRockefeller,Kaelon Black,RB,SF,28,25.0,25,27,3,27,25,25,,1033,856,1.207,3,value,1159,1.354,6.0,steal,12
32,3.08,3,8,2,2 Dagos and A Dream ,TGamby,Ty Simpson,QB,LAR,24,20.0,20,43,3,20,20,43,,1177,831,1.416,8,steal,1392,1.675,12.0,steal,11
33,3.09,3,9,9,Max’s Shadynasty,maxjabb,Skyler Bell,WR,BUF,35,27.0,23,32,3,32,27,23,,667,782,0.853,-2,reach,1036,1.325,6.0,steal,2
34,3.10,3,10,9,Max’s Shadynasty,maxjabb,Drew Allar,QB,PIT,31,42.0,42,54,3,42,42,54,,856,734,1.166,3,value,423,0.576,-8.0,major reach,3
35,3.11,3,11,4,Bub’s Club,bubberdubber,Malik Benson,WR,LV,40,58.0,42,62,3,62,58,42,,445,667,0.667,-5,major reach,115,0.172,-23.0,major reach,10
36,3.12,3,12,1,Ertz & Krafts 🏆,jccbraves99,Max Klare,TE,LAR,44,31.0,29,36,3,31,36,29,,411,634,0.648,-8,major reach,856,1.35,5.0,steal,2
37,4.01,4,1,4,Bub’s Club,bubberdubber,Bryce Lance,WR,NO,42,34.0,31,46,3,34,31,46,,423,573,0.738,-5,major reach,734,1.281,3.0,steal,10
38,4.02,4,2,10,Bijan And The Maye-ssiah,jcflash59,Eli Heidenreich,RB,PIT,47,39.0,35,64,3,39,35,64,,272,450,0.604,-9,major reach,450,1.0,-1.0,market,2
39,4.03,4,3,6,Final Boss,OldManBacala,Seth McGowan,RB,IND,43,41.0,40,46,3,41,46,40,,413,450,0.918,-4,reach,439,0.976,-2.0,reach,11
40,4.04,4,4,8,arkinsjt,arkinsjt,Matt Hibner,TE,BAL,45,55.5,45,66,2,66,,45,,368,445,0.827,-5,major reach,160,0.36,-15.5,major reach,12
41,4.05,4,5,3,The Ape,sduda351,Colbie Young,WR,CIN,53,47.0,47,74,3,74,47,47,,200,439,0.456,-12,major reach,272,0.62,-6.0,major reach,3
42,4.06,4,6,11,Terry Tate’s Pain Train,mannyrsox24,Oscar Delp,TE,NO,36,30.0,28,32,3,28,32,30,,634,423,1.499,6,steal,932,2.203,12.0,steal,4
43,4.07,4,7,10,Bijan And The Maye-ssiah,jcflash59,Justin Joly,TE,DEN,39,35.0,31,50,3,35,50,31,,450,413,1.09,4,value,667,1.615,8.0,steal,3
44,4.08,4,8,2,2 Dagos and A Dream ,TGamby,Brenen Thompson,WR,LAC,50,37.0,37,44,3,44,37,37,,227,411,0.552,-6,major reach,573,1.394,7.0,steal,11
